id,title,text,label
3501,,"""Geoffrey Aguirre’s best brain hack began late one night at his home while trolling Wikipedia.""""One night he stumbled on the page for de Bruijn sequences a large category that includes the type 1 sequences Aguirre was already familiar with. “De Bruijn sequences are this whole world of sequences that have a special property of counter-balance” Aguirre says. “I realized that they would be perfect for the kinds of applications we had.”""",other
342,'Planet Earth II' replaced with human screams is hilariously disturbing,"The internet has proven many times in the past that animals and human voices can be a winning combination. SEE ALSO: 9 times 'Planet Earth II' took 2016 by storm Turns out the same goes for Planet Earth II. YouTuber Matt Amys recently decided to share his own version of David Attenborough's hit nature documentary, but with all the animal screams replaced with human screams. It's kind of disturbing, but we like it.",clickbait
3235,,Yes because PHP monoglots have their homepage set to and browse right over to Hackernews afterwards. It is not a public service it is a waste of screen space.The startup scene's dirty little secret is that (anecdotal from several local companies I've worked for and/or collaborated with) PHP development is fast and cheap. Once you have proven you can solve a business problem and get funding then you can decide if you really need to do a re-write.There are just too many small companies focusing on real problems(instead of what language their webapp is built in) to make me think PHP is evil or that Rasmus Lerdorf is a bad person.,other
3339,Rapper T.I.: Trump a ’Poster Child For White Supremacy’,"Rapper T. I. unloaded on black celebrities who met with Donald Trump after the election, saying they failed to challenge the president for disrespecting and degrading black voters during the campaign. [The Atlanta — based artist told the of The View Thursday that he took issue with talk show host Steve Harvey, Kanye West, and football Hall of Famer and civil rights champion Jim Brown meeting with Trump. “Before you stand and smile and say this is a good man and take pictures, what about addressing the disrespect and disregard for our community that was done?” T. I. said, adding “And what about him being the poster child for white supremacy and standing for the people who look to devalue our lives?” The star of the VH1 reality show T. I. Tiny: The Family Hustle also defended fellow rapper Snoop Dogg, who recently starred in a music video that sees the “Doggystyle” rapper pull a gun on and “shoot” a parody clown version of President Donald Trump. “Whatever Snoop said, he had the right to say. He’s protected by the Constitution in saying it,” T. I. said. “We have to protect our legends. We have to protect our heroes and the people who mean something to us and our community and our culture. ” The View Sunny Hostin suggested that Trump advisor Omarosa Manigault has stated the administration’s intention to “bridge the gap” between the White House and the black community, to which T. I. responded with a personal insult. “She can’t even bridge the gap in her teeth,” the rapper said. T. I. had originally defended Snoop Dogg and his controversial video in an Instagram message, calling Trump a “f*cking tangerine tanned muskrat scrotum skin, lacefront possum fur wig wearing, alternative fact, atomic dog diarrhea face ass man [sic]. ” Follow Jerome Hudson on Twitter: @JeromeEHudson",news
782,Legal marijuana could overtake manufacturing in job creation by 2020,"More Try Yahoo Finance on Firefox » (Uriel Sinai/Getty) Marijuana could be the next mega-industry in the US. A new report from New Frontier Data, a business intelligence firm focused on cannabis, projects the legal weed market will create more than a quarter of a million jobs by 2020. In comparison, manufacturing jobs are expected to decline by 814,000 by 2024, according to the Bureau of Labor Statistics. 2016 was a watershed year for the budding industry. Eight states voted to legalize pot in some form, bringing the number of states with comprehensive medical marijuana laws to 28. One in five Americans can legally get high without a letter from a doctor. As more people leave the black market for the safety, convenience, and product diversity that legal dispensaries offer, the industry's job growth could explode. Legal marijuana businesses employed an estimated 100,000 to 150,000 workers in January, according to the Marijuana Business Daily. That estimate includes growers, scientists, dispensary employees, and tech entrepreneurs developing ancillary services like the ""Yelp of weed"" or ""Uber for pot."" New Frontier based its projections on an analysis from the Marijuana Policy Group, an economic and policy cannabis consulting firm that works with the state of Colorado. The report assumes every state will have a medical and adult-use market in place by 2020 — a rather optimistic outlook. It's also banking on the belief that President Donald Trump will stand by his vow to support states' rights to legislate their own marijuana policy, despite warnings of a crackdown from Press Secretary Sean Spicer and Attorney General Jeff Sessions. Giadha Aguirre De Carcer, founder and CEO of New Frontier Data, described the forecast as ""an optimal view of the market that demonstrates what potential job creation could be if legal cannabis is operating freely and openly,"" in a statement. (Dispensary employees, called ""budtenders,"" man the counter at medical marijuana shop Caliva in San Jose, California.Caliva) There's some evidence to suggest New Frontier's projections are on the right track. In Colorado, which legalized pot outright in 2012 and opened the recreational market in 2014, the industry has created roughly 18,000 jobs, according to the Marijuana Policy Group. California, home to the world's sixth largest economy, fully legalized marijuana last November. Its state capital region alone could see 20,000 jobs created if it becomes a hub for the industry. The legal marijuana market is expected to top $24.5 billion in 2025, based solely on the states that passed medical or recreational legalization initiatives before 2017. NOW WATCH: Here's how Attorney General Sessions could shut down the legal marijuana industry overnight More From Business Insider Recently Viewed Marijuana Stocks Are Doomed if Trump Reneges on His Pot Pledge -- The Motley Fool Israel gives green light to decriminalize marijuana use About to Buy Marijuana Stocks? Read This First -- The Motley Fool Michigan to offer prize in fight against invasive Asian carp United Airlines CEO explains why the Boeing 747 jumbo jet will soon go away Why one of the world's richest people took out a mortgage What to watch for Monday, March 6th How to use improv to jumpstart your business Warren Buffett's advice 'doesn't work anymore,' robo-advisor CEO says McDonald's is making a big change after years of complaints from customers AP-NORC Poll: Divided Americans fret country losing identity Over-the-top luxuries of rich business leaders and politicians EL-ERIAN: The bigger signal from the Fed this week Applebee’s restaurants are disappearing across the US 'Where is he getting this information?': ABC anchor grills Trump spokesperson over Obama wiretap allegations Hundreds of companies want to help build Trump's Mexican wall anthony: The writer is disingenuous in depicting the invaders as ""fleeing war and violence"". The AUSTRIANS have learned that their welcome of the muslim savages was a foolhardy exercise. They have learned the hard way that these so called refugees are 85% able bodied ""men"" who are in reality the vanguard of the muslim subjugation of EUROPE. anthony: The writer is disingenuous in depicting the invaders as ""fleeing war and violence"". The AUSTRIANS have learned that their welcome of the muslim savages was a foolhardy exercise. They have learned the hard way that these so called refugees are 85% able bodied ""men"" who are in reality the vanguard of the muslim subjugation of EUROPE. 171 Uber has had 5 major scandals in just 2 weeks Keystone pipeline won't have to be built using US steel Jobs week — What you need to know in markets this week Trump’s Wiretapping Claim Based on Warrants Granted to FBI Commerce Secretary says Caterpillar raids part of ""ongoing investigation"" Nintendo Switch launch games: The must-haves, the maybes and the probably nots Trump reportedly went 'ballistic' over Sessions recusal amid Russia firestorm Trump May Have Little Choice but to Break His Social Security Promise The Latest: Official says FBI wants Trump claim rejected The California high school that cashed in on Snap IPO Stocks rangebound as Yellen signals rate hike coming Southerners More Likely to Be Saddled with Medical Debt, Study Shows Trump doubles down on allegations about Obama, calls for investigation into 'reports' of 'politically motivated' election probe",news
1323,A Mom Shared The Annoying Things Said About Her Daughter With Down Syndrome And Other Moms Joined In,"“She is a 4-month-old baby who happens to have Down syndrome,” Caroline Boudet wrote. “It’s not what she IS, it’s what she HAS.” Here is my baby girl, Louise. She is 4 months old, has two legs, two arms, and one extra chromosome. Please, when you meet a Louise, do not ask her mother, ‘how come you did not find out during the pregnancy?’ Either they did, and the parents took the decision to keep the baby. Or they didn’t, and it was surprising enough for them to talk about it over and over now. Keep in your mind that mothers have a tendency to feel guilty about each and every thing, so a surprising extra chromosome… I’ll let you make up your mind. Don’t tell her mother, ‘it’s your baby no matter what.’ No. It’s my baby, period. Plus, ‘nomatterwhat’ is quite an ugly name, I’d rather call her Louise. Don’t tell her mother: ‘As she a Down baby, she will… etc.’ No. She is a 4-month-old baby who happens to have Down syndrome. It’s not what she IS, it’s what she HAS. You wouldn’t say, ‘she’s a cancer baby.’ Don’t say, ‘they’re like this, they’re like that.’ ‘They’ all have their features, their character, their own tastes, their life. ‘They’ are as different between them as you are from you neighbor. I know that if one does not experience it, one does not think about it but words do matter. They can comfort and they can hurt. So just give it a thought, especially if you’re a doctor or nurse of any kind. I usually do not make my status public on Facebook, but this one will be. You can read it and share it as you want. Because each year there are (in France) 500 new ‘mothers of Louise’ that can have a day ruined by those kind of words. I know it’s not meant to hurt. But you just need to know. Monday I went with Louise to a meeting where I was made to listen of all these remarks. I came back crying, I needed a release. I know this is not malice, it’s ignorance. I too could have said these things before… This is exactly why I thought it was necessary to talk. So I posted this status on Facebook, saying that if people share, it would be always better than nothing. Adorable, this little cutie. A very beautiful declaration of love of a mom to a small adorable Louise… Beautiful life to you. I kiss you. Marie. So true! Bravo! I have 30-year-old son with Down syndrome. I understand you so much. I’ve spread this kind of message for 30 years and unfortunately, I think they will do it for centuries and centuries, but it is important not to stop writing these messages. One day, maybe, people will understand better what we live. My son Jean Robert Boucher is wonderful, sociable, tender, full of life and full of talent. We wouldn’t swap him for anything in the world. I am a ‘mother of Louise’ and all this [other people’s comments] is not necessary Thank you kisses to you. © 2017 BuzzFeed, Inc",clickbait
2347,,"I have no specialty in signed language linguistics but I would say that perhaps Location/Handshape/Movement could be considered similar to phonemes or at least similar to subconcepts like 'place of articulation'.Similar to spoken languages the individual sounds/shapes may or may not mean something on their own but they tend to be regular enough to be able to be described in a writing system: 
 (note that Stokoe notation is described as a 'phonemic script' here).",other
2577,Gun-Toting Protesters Show Up At Texas Mosque Event For Refugees,"A small crowd of protesters carrying guns arrived outside an Irving, Texas, mosque which was holding an event to welcome refugees, carrying signs that read, ”Say No To Syrian Refugees,” according to the Dallas Morning News. The protest was organized by the Bureau of American Islamic Relations, meant to mimic the Council on Relations (CAIR). The group’s president, David Wright, told the Dallas Morning News that he wanted to see the refugees that arrived at the event. ”We want to see how many are actually women and children,” he said. The mosque’s event was not specifically for refugees from Syria. The mosque’s imam, Zia Sheikh, told the Dallas Morning News that refugees from many countries had been invited to the event. Another day, another protest at Irving mosque https: . pic. twitter. — Sarah Mervosh (@smervosh) February 20, 2016, A lone also stood outside the mosque on Saturday holding a sign that read, ”Texas is big enough for EVERYONE, Y’ALL! !!” according to the Dallas Morning News.",news
303,Chile sentences 33 over Pinochet-era disappearances,"Share this with Email Facebook Messenger Messenger Twitter Pinterest WhatsApp LinkedIn Copy this link These are external links and will open in a new window The High Court in Chile has sentenced 33 former intelligence agents for the disappearance of five political activists in 1987. The court said that the five had been abducted and killed, and their bodies thrown into the sea. Investigators said they were killed in revenge for the abduction of an army colonel by left-wing guerrillas. The five are believed to have been the last people kidnapped under the rule of Gen Augusto Pinochet from 1973 to 1990. Those sentenced are former members of the CNI intelligence service, the army's intelligence battalion and the army's flight commando. Among them are former CNI head Gen Hugo Salas Wenzel and the CNI's ex-chief of operations, Maj Alvaro Corbalan Castilla. The two, who are already serving sentences for human rights abuses, were given 15 years in prison each. The remaining defendants were sentenced to jail terms ranging between five and 10 years, with one released subject to conditions. The five disappeared activists were members of the Communist Party and its militant wing, the Manuel Rodriguez Patriot Front, which used guerrilla tactics to fight the rule of Gen Pinochet. They were arrested in September 1987 by the secret police in retaliation for the abduction of Col Carlos Carreño by the Manuel Rodriguez Patriot Front. Col Carreño was kidnapped on 1 September 1987 and released three months later after his family agreed to the kidnappers' demand for $50,000 (£40,000) in food and clothing for Chile's poor. The bodies of the five were never found but Judge Mario Carroza's investigations revealed that they had been thrown into the sea from a helicopter off the coast of Valparaiso. It is not clear whether they were still alive but drugged at the time or if they had already been killed in detention. More than 3,200 people were killed or disappeared during Gen Pinochet's rule, according to official figures. Gen Pinochet came to power in a military coup in 1973, when he overthrew the socialist government of President Salvador Allende. Outside Chile, he is remembered as a ruthless dictator whose military regime tortured and killed thousands of opponents and drove many into exile. But inside Chile he still has a small but ardent group of right-wing supporters who regard him as a hero for ""saving the country from becoming another Cuba"". He stepped down from power in 1990, two years after he lost a referendum on whether he should remain in power. The Westminster attacker had been investigated by MI5, the PM reveals, as a second victim is named and eight people are held.",news
2894,,"I'm going to go out on a limb and suggest ""Founders at Work"" by Jessica Livingstone. Its not technical however it is full of interviews from a good selection of the most famous startup founders of this generation.There are a lot of Y combinator interviews and even one with our very own Paul Graham.",other
